"survey_year","site","island","site_status","den_MACPYRAD","den_MACSTIPES","den_PCLA","bm_PCLA","den_CPUN","bm_CPUN"
2019,"SCI_FORNEY_E","SCI","reference",0.1666667,1.166667,3.33333333333333,0.710873148627916,3.5,0.269375660719122
2020,"SCI_FORNEY_E","SCI","reference",0,0,1.58333333333333,0.651925431872798,5.41666666666667,0.306060555372834
2021,"SCI_FORNEY_E","SCI","reference",9.333333,53,2.5,0.856192535989839,1.41666666666667,0.126906061706009
2015,"SCI_FORNEY_W","SCI","reference",57,485.3333333,1.41666666666667,0.427286078252934,8.75,0.278095809239591
2017,"SCI_FORNEY_W","SCI","reference",11.66667,72.5,3.25,0.763596040479766,11.1666666666667,0.30111672533923
2018,"SCI_FORNEY_W","SCI","reference",4.5,13.83333,1.25,0.471353659577542,6.33333333333333,0.155027838960227
2019,"SCI_FORNEY_W","SCI","reference",0.3333333,2.166667,1.58333333333333,0.502400303459256,0.333333333333333,0.018784390518379
2020,"SCI_FORNEY_W","SCI","reference",0.3333333,1,1.58333333333333,0.487359507948681,1.08333333333333,0.0574550572165433
2021,"SCI_FORNEY_W","SCI","reference",3.666667,21.33333,0.916666666666667,0.344152851307897,1.58333333333333,0.11291497545193
2015,"SCI_GULL_ISLE_E","SCI","mpa",37,218.5,3.08333333333333,1.51087428737448,59.4166666666667,1.36999020595895
2017,"SCI_GULL_ISLE_E","SCI","mpa",49.16667,263.3333,10.1666666666667,4.99642269548939,27.4166666666667,0.957075951880392
2018,"SCI_GULL_ISLE_E","SCI","mpa",29,221.6667,5.91666666666667,1.7847392081268,13.3333333333333,0.770205618622247
2019,"SCI_GULL_ISLE_E","SCI","mpa",25.16667,182.5,11.1666666666667,3.19912740946831,7.75,0.283817523375448
2020,"SCI_GULL_ISLE_E","SCI","mpa",7.5,66.83333,8.58333333333333,3.6898335699614,4.41666666666667,0.175763190558246
2021,"SCI_GULL_ISLE_E","SCI","mpa",33.66667,181,1.58333333333333,0.296353540956559,13.5,0.342874187341592
2015,"SCI_GULL_ISLE_W","SCI","mpa",27,108.5,1.91666666666667,0.464140094605038,67.4166666666667,0.968205108317841
2017,"SCI_GULL_ISLE_W","SCI","mpa",68.5,255,3.5,1.06746660345429,41.9166666666667,1.41279230649499
2018,"SCI_GULL_ISLE_W","SCI","mpa",36.83333,255,3.5,1.36865148407951,8.41666666666667,0.492077141468844
2019,"SCI_GULL_ISLE_W","SCI","mpa",23.83333,103.6667,3.91666666666667,1.06586455129223,10.6666666666667,0.411940948505072
2020,"SCI_GULL_ISLE_W","SCI","mpa",28.5,138.1667,2,0.685719756385435,3.25,0.0375590204354462
2021,"SCI_GULL_ISLE_W","SCI","mpa",62.33333,254.8333,2.5,0.833185072049616,6.16666666666667,0.196574191642894
2015,"SCI_HAZARDS_CEN","SCI","reference",0.5,3.5,5,1.28035996229056,22.625,0.84961908790396
2016,"SCI_HAZARDS_CEN","SCI","reference",2.75,7.5,2.5,0.1555179953827,44.25,1.2454470618135
2017,"SCI_HAZARDS_CEN","SCI","reference",4.5,16,2.25,0.766038179912833,16.375,0.790665984063766
2018,"SCI_HAZARDS_CEN","SCI","reference",0,0,3.875,1.08180765699845,7.875,0.316270028296578
2019,"SCI_HAZARDS_CEN","SCI","reference",0,0,2.5,0.526393941427865,10.375,0.51207758820801
2020,"SCI_HAZARDS_CEN","SCI","reference",0,0,2,0.888022807257807,19.125,1.15105913977495
2021,"SCI_HAZARDS_CEN","SCI","reference",0,0,2.875,1.0295564567717,16.125,0.706949944050322
2015,"SCI_HAZARDS_E","SCI","reference",0,0,5.375,1.7278817968695,26,0.363813803406513
2016,"SCI_HAZARDS_E","SCI","reference",1.5,3,2.75,0.128432921603236,28.5,0.477046687931639
2017,"SCI_HAZARDS_E","SCI","reference",33.75,107,1,0.225791150164401,16.625,0.457473032383304
2018,"SCI_HAZARDS_E","SCI","reference",10,36.5,3.25,0.754531037805406,22.25,0.63912208360785
2019,"SCI_HAZARDS_E","SCI","reference",0,0,2.75,0.444144356196052,12.625,0.410003460912987
2020,"SCI_HAZARDS_E","SCI","reference",0,0,1.875,0.330651031310023,18.875,0.88580852851761
2021,"SCI_HAZARDS_E","SCI","reference",3.75,15.25,2.875,0.317007108765693,5.875,0.219023741617366
2015,"SCI_HAZARDS_W","SCI","reference",0,0,5.875,1.49312481182354,31.875,0.357208957289065
2016,"SCI_HAZARDS_W","SCI","reference",0,0,5,0.687964390245753,69.125,1.24576538011713
2017,"SCI_HAZARDS_W","SCI","reference",0,0,5,1.44554492697707,9.5,0.431493136230003
2018,"SCI_HAZARDS_W","SCI","reference",0,0,2.875,0.701521705299999,30.375,0.684794118586337
2019,"SCI_HAZARDS_W","SCI","reference",0,0,3.125,1.04306958602569,8.875,0.301988321284454
2020,"SCI_HAZARDS_W","SCI","reference",0,0,2.125,0.576771864370382,5.875,0.273921333688052
2021,"SCI_HAZARDS_W","SCI","reference",0,0,1.875,0.465897322148632,8,0.312809920534863
2015,"SCI_PAINTED_CAVE_CEN","SCI","mpa",0,0,2.25,0.878637617795042,23.875,0.976779646499575
2017,"SCI_PAINTED_CAVE_CEN","SCI","mpa",0.5,4.25,4.375,1.79438838039486,23.125,0.727387030997949
2018,"SCI_PAINTED_CAVE_CEN","SCI","mpa",1.75,12.5,7.5,3.02811095561781,17.5,0.595723348780758
2019,"SCI_PAINTED_CAVE_CEN","SCI","mpa",0,0,3.25,0.982356033259073,10.25,0.448951191243691
2020,"SCI_PAINTED_CAVE_CEN","SCI","mpa",0,0,2,0.962440695239985,14.5,0.688358191242429
2021,"SCI_PAINTED_CAVE_CEN","SCI","mpa",0,0,2.375,0.8338559593691,3,0.105676392008686
2015,"SCI_PAINTED_CAVE_E","SCI","mpa",0,0,2.375,1.1734127550319,31.75,0.576812448010268
2017,"SCI_PAINTED_CAVE_E","SCI","mpa",0,0,1.375,0.761558181461139,81.5,2.83475819603648
2018,"SCI_PAINTED_CAVE_E","SCI","mpa",0,0,4.75,1.25788574382407,10.875,0.214871403228641
2019,"SCI_PAINTED_CAVE_E","SCI","mpa",0,0,3,1.42122720746304,9.25,0.404513834064967
